jenis_MAKANAN,jenis_NONMAKANAN,jenis_TOTAL,daerah_PERDESAAN,daerah_PERDESAANPERKOTAAN,daerah_PERKOTAAN,upah,peng,ump,gk,Cluster
True,False,False,False,False,True,0.11179635761589402,0.12357921593448995,0.28070330080847794,0.29739336780373704,8
True,False,False,False,False,True,0.11179635761589402,0.12357921593448995,0.28070330080847794,0.3076216634598353,8
True,False,False,False,False,True,0.21117549668874175,0.15869492393327597,0.33802448887076997,0.3126138869949847,8
True,False,False,False,False,True,0.21117549668874175,0.15869492393327597,0.33802448887076997,0.3290221065120917,8
True,False,False,True,False,False,0.11179635761589402,0.0932644736623677,0.28070330080847794,0.3019816033833081,0
True,False,False,True,False,False,0.11179635761589402,0.0932644736623677,0.28070330080847794,0.3132131964546114,0
True,False,False,True,False,False,0.21117549668874175,0.10054956351180916,0.33802448887076997,0.3240832627668686,0
True,False,False,True,False,False,0.21117549668874175,0.10054956351180916,0.33802448887076997,0.3351923249567502,0
True,False,False,False,True,False,0.11179635761589402,0.10187037179710376,0.28070330080847794,0.30067986441533356,5
True,False,False,False,True,False,0.11179635761589402,0.10187037179710376,0.28070330080847794,0.31162514770430505,5
True,False,False,False,True,False,0.21117549668874175,0.11744850316198013,0.33802448887076997,0.32056990204808544,5
True,False,False,False,True,False,0.21117549668874175,0.11744850316198013,0.33802448887076997,0.3336079157375752,5
True,False,False,False,False,True,0.2600993377483443,0.18503404603631948,0.43810702088799836,0.34162095011173355,8
True,False,False,False,False,True,0.2600993377483443,0.18503404603631948,0.43810702088799836,0.36304323035077796,8
True,False,False,False,False,True,0.2189155629139073,0.19639904159460678,0.4905749275811718,0.36785469050640435,8
True,False,False,False,False,True,0.2189155629139073,0.19639904159460678,0.4905749275811718,0.37821643563731827,8
True,False,False,True,False,False,0.2600993377483443,0.13541030400724635,0.43810702088799836,0.342972429338503,0
True,False,False,True,False,False,0.2600993377483443,0.13541030400724635,0.43810702088799836,0.3609310891175592,0
True,False,False,True,False,False,0.2189155629139073,0.14073354874327412,0.4905749275811718,0.3704484630260032,0
True,False,False,True,False,False,0.2189155629139073,0.14073354874327412,0.4905749275811718,0.38081870039622356,0
True,False,False,False,True,False,0.2600993377483443,0.15031292046759082,0.43810702088799836,0.3425975576319754,5
True,False,False,False,True,False,0.2600993377483443,0.15031292046759082,0.43810702088799836,0.3615158404526606,5
True,False,False,False,True,False,0.2189155629139073,0.15819052244501491,0.4905749275811718,0.3696914405506853,5
True,False,False,False,True,False,0.2189155629139073,0.15819052244501491,0.4905749275811718,0.38005682521273054,5
True,False,False,False,False,True,0.2706953642384106,0.1972456699154095,0.5474527618319065,0.3827318805942626,8
True,False,False,False,False,True,0.2706953642384106,0.1972456699154095,0.5474527618319065,0.39920682484877745,8
True,False,False,False,False,True,0.39627483443708605,0.2039714487474881,0.6125709431683376,0.42396291560412575,8
True,False,False,False,False,True,0.39627483443708605,0.2039714487474881,0.6125709431683376,0.42575599127483066,8
True,False,False,True,False,False,0.2706953642384106,0.14673656493647733,0.5474527618319065,0.3931482186921466,0
True,False,False,True,False,False,0.2706953642384106,0.14673656493647733,0.5474527618319065,0.4110316614944885,0
True,False,False,True,False,False,0.39627483443708605,0.16639673028652133,0.6125709431683376,0.422251122795354,0
True,False,False,True,False,False,0.39627483443708605,0.16639673028652133,0.6125709431683376,0.4237081484249322,0
True,False,False,False,True,False,0.2706953642384106,0.16314131882473176,0.5474527618319065,0.3900752412402551,5
True,False,False,False,True,False,0.2706953642384106,0.16314131882473176,0.5474527618319065,0.4074091148417653,5
True,False,False,False,True,False,0.39627483443708605,0.17860750285508267,0.6125709431683376,0.4227570176226097,5
True,False,False,False,True,False,0.39627483443708605,0.17860750285508267,0.6125709431683376,0.42431473694682154,5
True,False,False,False,False,True,0.352317880794702,0.23767440692387878,0.6125709431683376,0.44825193319761925,8
